Species;Common;IUIS Allergen;Type;Group;Allergenicity;Length;Accession;GI#;1st Version
Blattella germanica;German cockroach;Bla g 6.0101;Aero Insect;Blattella Bla g 6;IgE but no biological test;151;ABB89296.1;82704032;8
Blattella germanica;German cockroach;Bla g 6.0201;Aero Insect;Blattella Bla g 6;IgE but no biological test;151;ABB89297.1;82704034;8
Blattella germanica;German cockroach;Bla g 6.0301;Aero Insect;Blattella Bla g 6;IgE but no biological test;154;ABB89298.1;82704036;8
Blattella germanica;German cockroach;Bla g 7.0101;Aero Insect;Blattella Bla g 7;IgE but no biological test;284;AAF72534.1;8101069;7
Blattella germanica;German cockroach;Unassigned;Aero Insect;Blattella delta GST;IgE but no biological test;216;ABX57814.1;161137518;11
Blomia tropicalis;Mite;Unassigned;Aero Insect;Blomia Blo t 12;IgE plus basophil+ or SPT+;69;2MFK_A;723586656;16
Blomia tropicalis;Mite;Blo t 21.0101;Aero Insect;Blomia Blo t 21;IgE plus basophil+ or SPT+;129;AAX34047.1;60679570;9
Blomia tropicalis;Mite;Blo t 4.0101;Aero Insect;Blomia Blo t 4 alpha amylase;IgE plus basophil+ or SPT+;506;AAQ24543.1;33667932;8
Blomia tropicalis;Mite;Unassigned;Aero Insect;Blomia Blo t 7;IgE but no biological test;192;AAQ24545.1;33667936;8
Blomia tropicalis;Mite;Unassigned;Aero Insect;Blomia Blo t 8;IgE but no biological test;236;AAP35069.1;37958149;8
Blomia tropicalis;Mite;Blo t 8.0101;Aero Insect;Blomia Blo t 8;IgE but no biological test;236;ACV04860.1;256665455;11
Bombyx mori;Silkworm;Bomb m 1.0101;Aero Insect;Bombyx Bomb m 1;IgE but no biological test;355;ABB88514.1;82658675;15
Chironomus kiiensis;Midge;Chi k 10.0101;Aero Insect;Chironomus Chi k 10;IgE but no biological test;285;CAA09938.2;7321108;7
Chironomus thummi thummi;Midge;Chi t 1.0101;Aero Insect;Chironomus Chi t 1;IgE but no biological test;151;P02229.2;121219;7
Chironomus thummi thummi;Midge;Chi t 1.0201;Aero Insect;Chironomus Chi t 1;IgE but no biological test;151;P02230.1;121227;7
Chironomus thummi thummi;Midge;Chi t 2.0101;Aero Insect;Chironomus Chi t 2;IgE but no biological test;158;P02221.2;2506460;7
Chironomus thummi thummi;Midge;Chi t 3.0601;Aero Insect;Chironomus Chi t 3;IgE but no biological test;161;P84296.1;56405052;7
Chironomus thummi thummi;Midge;Chi t 3.0901;Aero Insect;Chironomus Chi t 3;IgE but no biological test;151;P02227.1;121237;7
Chironomus thummi thummi;Midge;Chi t 3.0501;Aero Insect;Chironomus Chi t 3;IgE but no biological test;161;P12548.1;121244;7
Chironomus thummi thummi;Midge;Chi t 3.0701;Aero Insect;Chironomus Chi t 3;IgE but no biological test;161;P84298.1;56405054;7
Chironomus thummi thummi;Midge;Chi t 3.0702;Aero Insect;Chironomus Chi t 3;IgE but no biological test;161;P12549.1;121248;7
Chironomus thummi thummi;Midge;Chi t 3.0801;Aero Insect;Chironomus Chi t 3;IgE but no biological test;162;P12550.1;121249;7
Chironomus thummi thummi;Midge;Chi t 3.0301;Aero Insect;Chironomus Chi t 3;IgE but no biological test;161;P02226.2;56405306;7
Chironomus thummi thummi;Midge;Chi t 3.0101;Aero Insect;Chironomus Chi t 3;IgE but no biological test;160;P02222.2;1707908;7
Chironomus thummi thummi;Midge;Chi t 3.0401;Aero Insect;Chironomus Chi t 3;IgE but no biological test;161;P02223.2;1707911;7
Chironomus thummi thummi;Midge;Chi t 3.0201;Aero Insect;Chironomus Chi t 3;IgE but no biological test;162;P02224.2;2506461;7
Chironomus thummi thummi;Midge;Chi t 4.0101;Aero Insect;Chironomus Chi t 4;IgE but no biological test;151;P02231.1;121256;7
Chironomus thummi thummi;Midge;Chi t 9.0101;Aero Insect;Chironomus Chi t 9;IgE but no biological test;151;P02228.1;121259;7
Lepisma saccharina;Silverfish;Lep s 1.0101;Aero Insect;Lepisma Tropomyosin;IgE plus basophil+ or SPT+;284;CAC84590.2;20387027;7
Lepisma saccharina;Silverfish;Unassigned;Aero Insect;Lepisma Tropomyosin;IgE plus basophil+ or SPT+;243;CAC84593.2;20387029;7
Liposcelis bostrychophila;booklice;Lip b 1.0101;Aero Insect;Liposcelis Lip b 1 Fragments;IgE but no biological test;254;BAW03243.1;1109516247;18
Liposcelis bostrychophila;booklice;Lip b 1.0102;Aero Insect;Liposcelis Lip b 1 Fragments;IgE but no biological test;254;BAW03242.1;1109516245;18
Periplaneta americana;American cockroach;Per a 5.0101;Aero Insect;Per a 5 Periplaneta GST;IgE plus basophil+ or SPT+;216;AAX33729.1;60678789;7
Periplaneta americana;American cockroach;Per a 5.0102;Aero Insect;Per a 5 Periplaneta GST;IgE plus basophil+ or SPT+;216;AEV23867.1;359326557;15
Periplaneta americana;American cockroach;Per a 11.0101;Aero Insect;Periplaneta americana Per a 11;IgE plus basophil+ or SPT+;494;AKH04310.1;821092692;16
Periplaneta americana;American cockroach;Per a 12.0101;Aero Insect;Periplaneta americana Per a 12;IgE plus basophil+ or SPT+;407;AKH04311.1;821092694;16
Periplaneta americana;American cockroach;Unassigned;Aero Insect;Periplaneta Not in IUIS Per a 4;IgE but no biological test;183;AAX33728.1;60678787;7
Periplaneta americana;American cockroach;Unassigned;Aero Insect;Periplaneta Not in IUIS Per a 4;IgE but no biological test;163;3EBW_A;215794707;10
Periplaneta americana;American cockroach;Per a 11.0101;Aero Insect;Periplaneta Not in IUIS Per a 4;IgE but no biological test;167;ACJ37391.1;212675312;10
Periplaneta americana;American cockroach;Per a 1.0201;Aero Insect;Periplaneta Per a 1;IgE plus basophil+ or SPT+;446;AAC34736.1;2231297;7
Periplaneta americana;American cockroach;Per a 1.0104;Aero Insect;Periplaneta Per a 1;IgE plus basophil+ or SPT+;274;AAC34737.1;2253610;7
Periplaneta americana;American cockroach;Per a 1.0103;Aero Insect;Periplaneta Per a 1;IgE plus basophil+ or SPT+;395;AAB82404.1;2580504;7
Periplaneta americana;American cockroach;Per a 1.0102;Aero Insect;Periplaneta Per a 1;IgE plus basophil+ or SPT+;228;AAC34312.1;2897849;7
Periplaneta americana;American cockroach;Per a 1.0101;Aero Insect;Periplaneta Per a 1;IgE plus basophil+ or SPT+;231;AAD13533.1;4240399;7
Periplaneta americana;American cockroach;Unassigned;Aero Insect;Periplaneta Per a 1;IgE plus basophil+ or SPT+;124;AAP13554.1;30144660;7
Periplaneta americana;American cockroach;Unassigned;Aero Insect;Periplaneta Per a 1;IgE plus basophil+ or SPT+;395;ADB92492.1;284518361;11
Periplaneta americana;American cockroach;Per a 10.0101;Aero Insect;Periplaneta Per a 10 ser protease;IgE plus basophil+ or SPT+;256;AAX33734.1;60678799;7
Periplaneta americana;American cockroach;Unassigned;Aero Insect;Periplaneta Per a 2;IgE but no biological test;351;AAX33727.1;60678785;7
Periplaneta americana;American cockroach;Per a 2.0101;Aero Insect;Periplaneta Per a 2;IgE but no biological test;351;ADR82198.1;313870534;12
Periplaneta americana;American cockroach;Per a 3.0201;Aero Insect;Periplaneta Per a 3;IgE plus basophil+ or SPT+;631;AAB09632.1;1531589;7
Periplaneta americana;American cockroach;Per a 3.0202;Aero Insect;Periplaneta Per a 3;IgE plus basophil+ or SPT+;470;AAB62731.1;1580794;7
Periplaneta americana;American cockroach;Per a 3.0203;Aero Insect;Periplaneta Per a 3;IgE plus basophil+ or SPT+;393;AAB63595.1;1580797;7
Periplaneta americana;American cockroach;Per a 3.0101;Aero Insect;Periplaneta Per a 3;IgE plus basophil+ or SPT+;685;Q25641.1;2833325;9
Periplaneta americana;American cockroach;Unassigned;Aero Insect;Periplaneta Per a 3;IgE plus basophil+ or SPT+;688;ADB92493.1;284518363;11
Periplaneta americana;American cockroach;Unassigned;Aero Insect;Periplaneta Per a 3;IgE plus basophil+ or SPT+;685;ADD17628.1;289721058;11
Periplaneta americana;American cockroach;Per a 6.0101;Aero Insect;Periplaneta Per a 6;IgE but no biological test;151;AAX33730.1;60678791;8
Periplaneta americana;American cockroach;Per a 7.0102;Aero Insect;Periplaneta Per a 7;IgE plus basophil+ or SPT+;284;AAD19606.1;4378573;7
Periplaneta americana;American cockroach;Per a 7.0101;Aero Insect;Periplaneta Per a 7;IgE plus basophil+ or SPT+;284;CAB38086.1;4468639;7
Periplaneta americana;American cockroach;Per a 6.0101;Aero Insect;Periplaneta Per a 7;IgE plus basophil+ or SPT+;284;ACS14052.1;239740599;11
Periplaneta americana;American cockroach;Unassigned;Aero Insect;Periplaneta Per a 9;IgE but no biological test;356;AAT77152.1;50428904;8
Periplaneta americana;American cockroach;Per a 9.0101;Aero Insect;Periplaneta Per a 9;IgE but no biological test;356;ACA00204.1;167782135;9
Periplaneta fuliginosa;Smokybrown cockroach;Unassigned;Aero Insect;Periplaneta Per a 7;IgE plus basophil+ or SPT+;284;AAL86701.1;19310971;7
Plodia interpunctella;Indian meal moth;Plo i 1.0101;Aero Insect;Plodia Plo i 1 Arginine kinase;IgE plus basophil+ or SPT+;355;CAC85911.1;15886861;7
Plodia interpunctella;Indian meal moth;Plo i 2.0101;Aero Insect;Plodia Plo i 2 thioredoxin;IgE but no biological test;106;CBW45298.1;308193268;12
Acarus siro;Mite;Aca s 13;Aero Mite;Acarus Aca s 13;IgE but no biological test;131;ABL09307.1;118638268;9
Blomia tropicalis;Mite;Blo t 1.0101;Aero Mite;Blomia Blo t 1.01;IgE but no biological test;221;AAK58415.1;14276828;7
Blomia tropicalis;Mite;Blo t 1.0201;Aero Mite;Blomia Blo t 1.02;IgE but no biological test;333;AAQ24541.1;33667928;8
Blomia tropicalis;Mite;Unassigned;Aero Mite;Blomia Blo t 1.02;IgE but no biological test;333;;2;8
Blomia tropicalis;Mite;Blo t 10.0101;Aero Mite;Blomia Blo t 10;IgE plus basophil+ or SPT+;284;ABU97466.1;156938889;9
Blomia tropicalis;Mite;Blo t 11.0101;Aero Mite;Blomia Blo t 11;IgE plus basophil+ or SPT+;875;AAM83103.1;21954740;7
Blomia tropicalis;Mite;Blo t 12.0101;Aero Mite;Blomia Blo t 12;IgE plus basophil+ or SPT+;144;AAA78904.1;902012;7
Blomia tropicalis;Mite;Blo t 13.0101;Aero Mite;Blomia Blo t 13.01;IgE but no biological test;130;AAC80579.1;1377859;7
Blomia tropicalis;Mite;Unassigned;Aero Mite;Blomia Blo t 21;IgE plus basophil+ or SPT+;129;ABH06350.1;111120432;8
Blomia tropicalis;Mite;Unassigned;Aero Mite;Blomia Blo t 21;IgE plus basophil+ or SPT+;129;ABH06347.1;111494253;8
Blomia tropicalis;Mite;Unassigned;Aero Mite;Blomia Blo t 21;IgE plus basophil+ or SPT+;129;ABH06346.1;111120424;8
Blomia tropicalis;Mite;Unassigned;Aero Mite;Blomia Blo t 21;IgE plus basophil+ or SPT+;129;ABH06348.1;111120428;8
Blomia tropicalis;Mite;Blo t 3.0101;Aero Mite;Blomia Blo t 3;IgE but no biological test;266;AAM10779.1;25989482;7
Blomia tropicalis;Mite;Unassigned;Aero Mite;Blomia Blo t 3;IgE but no biological test;266;AAQ24542.1;33667930;8
Blomia tropicalis;Mite;Blo t 5.0101;Aero Mite;Blomia Blo t 5;IgE plus basophil+ or SPT+;134;AAD10850.1;4204917;7
Blomia tropicalis;Mite;Unassigned;Aero Mite;Blomia Blo t 5;IgE plus basophil+ or SPT+;134;ABH06352.1;111120436;9
Blomia tropicalis;Mite;Unassigned;Aero Mite;Blomia Blo t 5;IgE plus basophil+ or SPT+;134;ABH06359.1;111120450;9
Blomia tropicalis;Mite;Unassigned;Aero Mite;Blomia Blo t 5;IgE plus basophil+ or SPT+;119;2JMH_A;160285626;9
Blomia tropicalis;Mite;Unassigned;Aero Mite;Blomia Blo t 5;IgE plus basophil+ or SPT+;135;APU87558.1;1131385191;18
Blomia tropicalis;Mite;Unassigned;Aero Mite;Blomia Blo t 5;IgE plus basophil+ or SPT+;133;APU87557.1;1131385189;18
Blomia tropicalis;Mite;Unassigned;Aero Mite;Blomia Blo t 5;IgE plus basophil+ or SPT+;135;APU87556.1;1131385187;18
Blomia tropicalis;Mite;Unassigned;Aero Mite;Blomia Blo t 5;IgE plus basophil+ or SPT+;134;APU87554.1;1131385183;18
Blomia tropicalis;Mite;Blo t 7.0101;Aero Mite;Blomia Blo t 7;IgE but no biological test;195;ASX95438.1;1241067909;18
Chortoglyphus arcuatus;;Unassigned;Aero Mite;Cho a 10.0101;IgE but no biological test;284;AEX31649.1;371500880;13
Dermatophagoides farinae;House dust mite;Unassigned;Aero Mite;Der f 36 from Proteome;IgE but no biological test;229;ATI08931.1;1250175279;18
Dermatophagoides farinae;House dust mite;Unassigned;Aero Mite;Der f alpha actinin;IgE plus basophil+ or SPT+;885;L7UZ85.1;1160577980;18
Dermatophagoides farinae;House dust mite;Der f 13.0101;Aero Mite;Dermatophagoides Der f 13;IgE plus basophil+ or SPT+;131;AAP35078.1;37958167;11
Dermatophagoides farinae;House dust mite;Der f 15.0101;Aero Mite;Dermatophagoides Der f 15 Der p 15;IgE but no biological test;555;AAD52672.1;5815436;7
Dermatophagoides farinae;House dust mite;Der f 16.0101;Aero Mite;Dermatophagoides Der f 16;IgE but no biological test;480;AAM64112.1;21591547;7
Dermatophagoides farinae;House dust mite;Unassigned;Aero Mite;Dermatophagoides Der f 20 / Der p 20;IgE but no biological test;356;AAP57094.1;37785884;8
Dermatophagoides farinae;House dust mite;Der f 20.0201;Aero Mite;Dermatophagoides Der f 20 / Der p 20;IgE but no biological test;356;ABU97470.1;156938897;9
Dermatophagoides farinae;House dust mite;Der f 20.0101;Aero Mite;Dermatophagoides Der f 20 / Der p 20;IgE but no biological test;356;AIO08850.1;685432792;15
Dermatophagoides farinae;House dust mite;Der f 24.0101;Aero Mite;Dermatophagoides Der f 24 and Der p 24 Ubiquinol;IgE but no biological test;118;AGI78542.1;477541860;14
Dermatophagoides farinae;House dust mite;Der f 25.0101;Aero Mite;Dermatophagoides Der f 25;IgE but no biological test;247;AGC56216.1;442565872;14
Dermatophagoides farinae;House dust mite;Der f 25.0201;Aero Mite;Dermatophagoides Der f 25;IgE but no biological test;247;AIO08860.1;685432812;15
Dermatophagoides farinae;House dust mite;Unassigned;Aero Mite;Dermatophagoides Der f 27;IgE plus basophil+ or SPT+;427;AAP35082.1;37958175;8
Dermatophagoides farinae;House dust mite;Der p 1.0102;Aero Mite;Dermatophagoides Der f 27;IgE plus basophil+ or SPT+;427;AIO08851.1;685432794;15
Dermatophagoides farinae;House dust mite;Der f 28.0101;Aero Mite;Dermatophagoides Der f 28;IgE but no biological test;659;AGC56218.1;442565876;14
Dermatophagoides farinae;House dust mite;Der f 28.0201;Aero Mite;Dermatophagoides Der f 28;IgE but no biological test;654;AIO08848.1;685432788;15
Dermatophagoides farinae;House dust mite;Der f 29.0101;Aero Mite;Dermatophagoides Der f 29;IgE plus basophil+ or SPT+;164;AAP35065.1;37958141;8
Dermatophagoides farinae;House dust mite;Der f 30.0101;Aero Mite;Dermatophagoides Der f 30;IgE plus basophil+ or SPT+;171;AGC56219.1;442565878;14
Dermatophagoides farinae;House dust mite;Der f 31.0101;Aero Mite;Dermatophagoides Der f 31;IgE plus basophil+ or SPT+;148;AIO08870.1;685432832;15
Dermatophagoides farinae;House dust mite;Der f 33.0101;Aero Mite;Dermatophagoides Der f 33;IgE but no biological test;461;AIO08861.1;685432814;15
Dermatophagoides farinae;House dust mite;Der f 35.0101;Aero Mite;Dermatophagoides Der f 35;IgE but no biological test;143;BAX34757.1;1187443130;18
Dermatophagoides farinae;House dust mite;Unassigned;Aero Mite;Dermatophagoides Der f 5-like;IgE but no biological test;132;BAE45865.1;76880188;7
Dermatophagoides farinae;House dust mite;Unassigned;Aero Mite;Dermatophagoides Der f 5-like;IgE but no biological test;132;AAP35068.1;37958147;8
Dermatophagoides farinae;House dust mite;Unassigned;Aero Mite;Dermatophagoides Der f 5-like;IgE but no biological test;132;ABO84970.1;140089345;9
Dermatophagoides farinae;House dust mite;Unassigned;Aero Mite;Dermatophagoides Der f 5-like;IgE but no biological test;132;ABO84971.1;140089347;9
Dermatophagoides farinae;House dust mite;Unassigned;Aero Mite;Dermatophagoides Der f 5-like;IgE but no biological test;132;ABO84972.1;140089349;9
Dermatophagoides farinae;House dust mite;Unassigned;Aero Mite;Dermatophagoides Der f 5-like;IgE but no biological test;132;ABO84973.1;140089351;9
Dermatophagoides farinae;House dust mite;;Aero Mite;Dermatophagoides Der p 1 Der f 1 Der m 1;IgE plus basophil+ or SPT+;321;P16311.2;730035;7
Dermatophagoides farinae;House dust mite;Der f 1.0101;Aero Mite;Dermatophagoides Der p 1 Der f 1 Der m 1;IgE plus basophil+ or SPT+;321;BAC53948.1;27530349;7
Dermatophagoides farinae;House dust mite;Der f 1.0102;Aero Mite;Dermatophagoides Der p 1 Der f 1 Der m 1;IgE plus basophil+ or SPT+;276;ABA39436.1;76097507;7
Dermatophagoides farinae;House dust mite;Unassigned;Aero Mite;Dermatophagoides Der p 1 Der f 1 Der m 1;IgE plus basophil+ or SPT+;321;ABU49605.1;156106765;9
Dermatophagoides farinae;House dust mite;Unassigned;Aero Mite;Dermatophagoides Der p 1 Der f 1 Der m 1;IgE plus basophil+ or SPT+;263;AAP35075.1;37958161;12
Dermatophagoides farinae;House dust mite;Unassigned;Aero Mite;Dermatophagoides Der p 1 Der f 1 Der m 1;IgE plus basophil+ or SPT+;305;AFJ68066.1;387178006;13
Dermatophagoides farinae;House dust mite;Unassigned;Aero Mite;Dermatophagoides Der p 1 Der f 1 Der m 1;IgE plus basophil+ or SPT+;303;ADM52184.1;305387429;15
Dermatophagoides farinae;House dust mite;Der f 1.0108;Aero Mite;Dermatophagoides Der p 1 Der f 1 Der m 1;IgE plus basophil+ or SPT+;321;ABL84749.1;119633260;15
Dermatophagoides farinae;House dust mite;Der f 1.0109;Aero Mite;Dermatophagoides Der p 1 Der f 1 Der m 1;IgE plus basophil+ or SPT+;321;ABL84750.1;119633262;15
Dermatophagoides farinae;House dust mite;Der f 1.0110;Aero Mite;Dermatophagoides Der p 1 Der f 1 Der m 1;IgE plus basophil+ or SPT+;321;ABL84751.1;119633264;15
Dermatophagoides farinae;House dust mite;Der f 10.0101;Aero Mite;Dermatophagoides Der p 10 / Der f 10;IgE plus basophil+ or SPT+;299;BAA04557.1;1359436;7
Dermatophagoides farinae;House dust mite;Der f 11.0101;Aero Mite;Dermatophagoides Der p 11 / Der f 11;IgE plus basophil+ or SPT+;692;AAK39511.1;13785807;7
Dermatophagoides farinae;House dust mite;Unassigned;Aero Mite;Dermatophagoides Der p 11 / Der f 11;IgE plus basophil+ or SPT+;876;AIO08864.1;685432820;16
Dermatophagoides farinae;House dust mite;Unassigned;Aero Mite;Dermatophagoides Der p 14 / Der f 14;IgE but no biological test;341;P39673.1;729979;7
Dermatophagoides farinae;House dust mite;Der f 14.0101;Aero Mite;Dermatophagoides Der p 14 / Der f 14;IgE but no biological test;349;BAA04558.1;1545803;7
Dermatophagoides farinae;House dust mite;Der f 2.0102;Aero Mite;Dermatophagoides Der p 2 / Der f 2;IgE plus basophil+ or SPT+;146;BAA01240.1;217306;7
Dermatophagoides farinae;House dust mite;Der f 2.0103;Aero Mite;Dermatophagoides Der p 2 / Der f 2;IgE plus basophil+ or SPT+;138;BAA01241.1;217308;7
Dermatophagoides farinae;House dust mite;Der f 2.0105;Aero Mite;Dermatophagoides Der p 2 / Der f 2;IgE plus basophil+ or SPT+;129;AAL47677.1;17978844;7
Dermatophagoides farinae;House dust mite;Der f 2.0108;Aero Mite;Dermatophagoides Der p 2 / Der f 2;IgE plus basophil+ or SPT+;146;CAI05850.1;55859470;7
Dermatophagoides farinae;House dust mite;Der f 2.0107;Aero Mite;Dermatophagoides Der p 2 / Der f 2;IgE plus basophil+ or SPT+;146;CAI05849.1;55859468;7
Dermatophagoides farinae;House dust mite;Der f 2.0106;Aero Mite;Dermatophagoides Der p 2 / Der f 2;IgE plus basophil+ or SPT+;146;CAI05848.1;55859466;7
Dermatophagoides farinae;House dust mite;Der f 2.0109;Aero Mite;Dermatophagoides Der p 2 / Der f 2;IgE plus basophil+ or SPT+;129;ABA39438.1;76097511;7
Dermatophagoides farinae;House dust mite;Unassigned;Aero Mite;Dermatophagoides Der p 2 / Der f 2;IgE plus basophil+ or SPT+;146;BAD74060.2;256631558;11
Dermatophagoides farinae;House dust mite;Der f 2.0112;Aero Mite;Dermatophagoides Der p 2 / Der f 2;IgE plus basophil+ or SPT+;140;AAP35073.1;37958157;12
Dermatophagoides farinae;House dust mite;Unassigned;Aero Mite;Dermatophagoides Der p 2 / Der f 2;IgE plus basophil+ or SPT+;129;AFJ68072.1;387178018;13
Dermatophagoides farinae;House dust mite;Der f 2.0101;Aero Mite;Dermatophagoides Der p 2 / Der f 2;IgE plus basophil+ or SPT+;138;BAA01239.1;217304;15
Dermatophagoides farinae;House dust mite;Der f 2.0116;Aero Mite;Dermatophagoides Der p 2 / Der f 2;IgE plus basophil+ or SPT+;146;ABN14313.1;124696217;15
Dermatophagoides farinae;House dust mite;;Aero Mite;Dermatophagoides Der p 3 / Der f 3;IgE but no biological test;232;AAA99805.1;1314736;7
Dermatophagoides farinae;House dust mite;Unassigned;Aero Mite;Dermatophagoides Der p 3 / Der f 3;IgE but no biological test;259;ABY28115.1;163638970;9
Dermatophagoides farinae;House dust mite;Unassigned;Aero Mite;Dermatophagoides Der p 3 / Der f 3;IgE but no biological test;259;ACK76291.1;218203816;10
Dermatophagoides farinae;House dust mite;Unassigned;Aero Mite;Dermatophagoides Der p 3 / Der f 3;IgE but no biological test;259;ACK76292.1;218203818;10
Dermatophagoides farinae;House dust mite;Der f 3.0101;Aero Mite;Dermatophagoides Der p 3 / Der f 3;IgE but no biological test;259;BAA09920.1;1311457;15
Dermatophagoides farinae;House dust mite;Unassigned;Aero Mite;Dermatophagoides Der p 6 / Der f 6;IgE but no biological test;20;AAB27594.1;404371;7
Dermatophagoides farinae;House dust mite;Unassigned;Aero Mite;Dermatophagoides Der p 6 / Der f 6;IgE but no biological test;279;ACK76296.1;218203826;10
